"x","y"
"4488.725933","1.29E-15"
"4490.581346","1.16E-15"
"4492.436758","1.09E-15"
"4494.292171","9.81E-16"
"4496.147583","8.44E-16"
"4498.002996","9.03E-16"
"4499.858408","1.26E-15"
"4501.713821","9.20E-16"
"4503.569233","1.35E-15"
"4505.424646","1.18E-15"
"4507.280058","1.11E-15"
"4509.135471","1.08E-15"
"4510.990883","1.09E-15"
"4512.846296","6.74E-16"
"4514.701708","9.05E-16"
"4516.557121","9.24E-16"
"4518.412533","9.75E-16"
"4520.267946","9.25E-16"
"4522.123358","9.43E-16"
"4523.978771","8.26E-16"
"4525.834183","9.17E-16"
"4527.689596","1.03E-15"
"4529.545008","8.03E-16"
"4531.400421","1.18E-15"
"4533.255833","1.07E-15"
"4535.111246","9.25E-16"
"4536.966658","1.19E-15"
"4538.822071","1.34E-15"
"4540.677483","1.49E-15"
"4542.532896","1.69E-15"
"4544.388308","2.10E-15"
"4546.243721","1.84E-15"
"4548.099133","9.47E-16"
"4549.954546","1.13E-15"
"4551.809958","9.51E-16"
"4553.665371","6.57E-16"
"4555.520783","8.22E-16"
"4557.376196","9.28E-16"
"4559.231608","9.59E-16"
"4561.087021","8.91E-16"
"4562.942433","9.96E-16"
"4564.797846","1.14E-15"
"4566.653258","1.08E-15"
"4568.508671","1.18E-15"
"4570.364083","9.30E-16"
"4572.219496","8.61E-16"
"4574.074908","1.04E-15"
"4575.930321","1.02E-15"
"4577.785733","1.06E-15"
"4579.641146","1.26E-15"
"4581.496558","1.14E-15"
"4583.351971","6.49E-16"
"4585.207383","1.07E-15"
"4587.062796","1.31E-15"
"4588.918208","1.20E-15"
"4590.773621","8.90E-16"
"4592.629033","7.04E-16"
"4594.484446","7.61E-16"
"4596.339858","1.09E-15"
"4598.195271","1.07E-15"
"4600.050683","9.74E-16"
"4601.906096","8.50E-16"
"4603.761508","1.00E-15"
"4605.616921","1.01E-15"
"4607.472333","9.68E-16"
"4609.327746","9.21E-16"
"4611.183158","8.67E-16"
"4613.038571","1.09E-15"
"4614.893983","1.01E-15"
"4616.749396","9.01E-16"
"4618.604808","9.97E-16"
"4620.460221","1.33E-15"
"4622.315633","1.15E-15"
"4624.171046","9.11E-16"
"4626.026458","9.32E-16"
"4627.881871","8.84E-16"
"4629.737283","8.95E-16"
"4631.592696","8.99E-16"
"4633.448108","1.11E-15"
"4635.303521","1.43E-15"
"4637.158933","1.28E-15"
"4639.014346","7.86E-16"
"4640.869758","8.63E-16"
"4642.725171","1.09E-15"
